ID,Parameter_ID,Name,Description
GB192-?,GB192,?,missing
GB196-0,GB196,0,absent
GB196-1,GB196,1,present
GB196-?,GB196,?,missing
GB197-0,GB197,0,absent
GB197-1,GB197,1,present
GB197-?,GB197,?,missing
GB198-0,GB198,0,absent
GB198-1,GB198,1,present
GB198-?,GB198,?,missing
GB204-0,GB204,0,absent
GB204-1,GB204,1,present
GB204-?,GB204,?,missing
GB250-0,GB250,0,absent
GB250-1,GB250,1,present
GB250-?,GB250,?,missing
GB252-0,GB252,0,absent
GB252-1,GB252,1,present
GB252-?,GB252,?,missing
GB253-0,GB253,0,absent
GB253-1,GB253,1,present
GB253-?,GB253,?,missing
GB254-0,GB254,0,absent
GB254-1,GB254,1,present
GB254-?,GB254,?,missing
GB256-0,GB256,0,absent
GB256-1,GB256,1,present
GB256-?,GB256,?,missing
GB257-0,GB257,0,absent
GB257-1,GB257,1,present
GB257-?,GB257,?,missing
GB260-0,GB260,0,absent
GB260-1,GB260,1,present
GB260-?,GB260,?,missing
GB262-0,GB262,0,absent
GB262-1,GB262,1,present
GB262-?,GB262,?,missing
GB263-0,GB263,0,absent
GB263-1,GB263,1,present
GB263-?,GB263,?,missing
GB264-0,GB264,0,absent
GB264-1,GB264,1,present
GB264-?,GB264,?,missing
GB265-0,GB265,0,absent
GB265-1,GB265,1,present
GB265-?,GB265,?,missing
GB266-0,GB266,0,absent
GB266-1,GB266,1,present
GB266-?,GB266,?,missing
GB270-0,GB270,0,absent
GB270-1,GB270,1,present
GB270-?,GB270,?,missing
GB273-0,GB273,0,absent
GB273-1,GB273,1,present
GB273-?,GB273,?,missing
GB275-0,GB275,0,absent
GB275-1,GB275,1,present
GB275-?,GB275,?,missing
GB276-0,GB276,0,absent
GB276-1,GB276,1,present
GB276-?,GB276,?,missing
GB285-0,GB285,0,absent
GB285-1,GB285,1,present
GB285-?,GB285,?,missing
GB286-0,GB286,0,absent
GB286-1,GB286,1,present
GB286-?,GB286,?,missing
GB291-0,GB291,0,absent
GB291-1,GB291,1,present
GB291-?,GB291,?,missing
GB296-0,GB296,0,absent
GB296-1,GB296,1,present
GB296-?,GB296,?,missing
GB297-0,GB297,0,absent
GB297-1,GB297,1,present
GB297-?,GB297,?,missing
GB298-0,GB298,0,absent
GB298-1,GB298,1,present
GB298-?,GB298,?,missing
GB299-0,GB299,0,absent
GB299-1,GB299,1,present
GB299-?,GB299,?,missing
GB300-0,GB300,0,absent
GB300-1,GB300,1,present
GB300-?,GB300,?,missing
GB301-0,GB301,0,absent
GB301-1,GB301,1,present
GB301-?,GB301,?,missing
GB302-0,GB302,0,absent
GB302-1,GB302,1,present
GB302-?,GB302,?,missing
GB303-0,GB303,0,absent
GB303-1,GB303,1,present
GB303-?,GB303,?,missing
GB304-0,GB304,0,absent
GB304-1,GB304,1,present
GB304-?,GB304,?,missing
GB305-0,GB305,0,absent
GB305-1,GB305,1,present
GB305-?,GB305,?,missing
GB306-0,GB306,0,absent
GB306-1,GB306,1,present
GB306-?,GB306,?,missing
GB309-0,GB309,0,absent
GB309-1,GB309,1,present
GB309-?,GB309,?,missing
GB312-0,GB312,0,absent
GB312-1,GB312,1,present
GB312-?,GB312,?,missing
GB313-0,GB313,0,absent
GB313-1,GB313,1,present
GB313-?,GB313,?,missing
GB314-0,GB314,0,absent
GB314-1,GB314,1,present
GB314-?,GB314,?,missing
GB315-0,GB315,0,absent
GB315-1,GB315,1,present
GB315-?,GB315,?,missing
GB316-0,GB316,0,absent
GB316-1,GB316,1,present
GB316-?,GB316,?,missing
GB317-0,GB317,0,absent
GB317-1,GB317,1,present
GB317-?,GB317,?,missing
GB318-0,GB318,0,absent
GB318-1,GB318,1,present
GB318-?,GB318,?,missing
GB319-0,GB319,0,absent
GB319-1,GB319,1,present
GB319-?,GB319,?,missing
GB320-0,GB320,0,absent
GB320-1,GB320,1,present
GB320-?,GB320,?,missing
GB321-0,GB321,0,absent
GB321-1,GB321,1,present
GB321-?,GB321,?,missing
GB322-0,GB322,0,absent
GB322-1,GB322,1,present
GB322-?,GB322,?,missing
GB323-0,GB323,0,absent
GB323-1,GB323,1,present
GB323-?,GB323,?,missing
GB324-0,GB324,0,absent
GB324-1,GB324,1,present
GB324-?,GB324,?,missing
GB325-0,GB325,0,absent
GB325-1,GB325,1,present
GB325-?,GB325,?,missing
GB326-0,GB326,0,absent
GB326-1,GB326,1,present
GB326-?,GB326,?,missing
GB327-0,GB327,0,absent
GB327-1,GB327,1,present
GB327-?,GB327,?,missing
GB328-0,GB328,0,absent
GB328-1,GB328,1,present
GB328-?,GB328,?,missing
GB329-0,GB329,0,absent
GB329-1,GB329,1,present
GB329-?,GB329,?,missing
GB330-0,GB330,0,absent
GB330-1,GB330,1,present
GB330-?,GB330,?,missing
GB331-0,GB331,0,absent
GB331-1,GB331,1,present
GB331-?,GB331,?,missing
GB333-0,GB333,0,absent
GB333-1,GB333,1,present
GB333-?,GB333,?,missing
GB334-0,GB334,0,absent
GB334-1,GB334,1,present
GB334-?,GB334,?,missing
GB335-0,GB335,0,absent
GB335-1,GB335,1,present
GB335-?,GB335,?,missing
GB336-0,GB336,0,absent
GB336-1,GB336,1,present
GB336-?,GB336,?,missing
GB400-0,GB400,0,absent
GB400-1,GB400,1,present
GB400-?,GB400,?,missing
GB401-0,GB401,0,absent
GB401-1,GB401,1,present
GB401-?,GB401,?,missing
GB402-0,GB402,0,absent
GB402-1,GB402,1,present
GB402-?,GB402,?,missing
GB403-0,GB403,0,absent
GB403-1,GB403,1,present
