ID	Feature_short	Feature	PoS	Function	Level
TE004	VHTongueRoot	Is there tongue root vowel harmony?	not assignable	phonological distinctiveness	phonological shape
TE005	InitVelarNasal	Is there an initial velar nasal?	not assignable	phonological distinctiveness	phonological shape
TE006	InitR	Is there an initial r-?	not assignable	phonological distinctiveness	phonological shape
TE007	ConsClusters	Are there initial consonant clusters in native words?	not assignable	phonological distinctiveness	phonological shape
TE008	VoicDistStops	Is there a voicing distinction in stops?	not assignable	phonological distinctiveness	phonological shape
TE009	LightVerbsBorr	Are borrowed verbs accommodated through a light-verb or a verbalizer?	verb	NA	NA
TE012	AdjVerbNom	Are property words verbally or nominally encoded?	adjective	NA	word
TE014	EmphRdplAdj	Is there partial emphatic reduplication of nominal property words?	adjective	other	word
TE015	Agglutinative	Are morphemes connected linearly in a way that there is a one on one relationship between a morpheme and its meaning?	multiple	NA	NA
TE016	SuffixalMorph	Is inflectional morphology predominantly suffixing?	word	NA	word
TE018	MiTiDistPrsPron	Is there a mi-ti opposition in 1 vs. 2 SG personal pronouns?	pronoun	other	lexicon
TE019	OblStemWithN	Is the secondary oblique stem of personal pronouns formed with a dental nasal?	pronoun	other	lexicon
TE022	AdvSubordGer	Are gerunds or adverbial participles used to mark adverbial subordination?	NA	NA	NA
TE025	FinNonFinIdent	Are specific non-finite and finite suffixes expressed by a formally identical suffix?	NA	NA	NA
TE026	NegVNegSuffId	Are specific negative verbs and negative suffixes/particles expressed by a formally identical suffix?	NA	NA	NA
TE027	PlPlusCollectPl	Can 1PL marker be augmented by a collective plural marker?	pronoun	deixis	word
TE028	AdjNPred	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like nouns in predicative position?	adjective	non-verbal predication	word
TE029	AdjNAttr	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as nouns?	adjective	other	word
TE031	NonInVelarNasal	Is there a non-initial velar nasal?	not assignable	phonological distinctiveness	phonological shape
TE033	RecipReflDist	Is there a reciprocal marker that is distinct from the reflexive marker?	pronoun	valency	NA
TE034	DerankedPCl	Are there deranked purpose clauses?	NA	NA	NA
TE036	SubjWant	Can the notional subject of a want complement clause be left implicit when it is coreferential with the wanter?	NA	NA	NA
TE037	VoicDistFricat	Is there a voicing distinction in fricatives?	not assignable	phonological distinctiveness	phonological shape
TE038	DistinctionLR	Are there two separate liquid phonemes (r/l)?	not assignable	phonological distinctiveness	phonological shape
