ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,PoS,Function,Level
nort2697-TE038,nort2697,TE038,1,TE038-1,,Shiraliev (1971:26),not assignable,phonological distinctiveness,phonological shape
nort2697-TE039,nort2697,TE039,0,TE039-0,,Shiraliev (1971:7); Shiraliev (1997:162),not assignable,phonological distinctiveness,phonological shape
nort2697-TE050,nort2697,TE050,0,TE050-0,,Shiraliev (1971:71),noun,number,NP
nort2697-TE052,nort2697,TE052,1,TE052-1,,Shiraliev (1971:44); Shiraliev (1997:163),multiple,argument marking (core),word
nort2697-TE053,nort2697,TE053,0,TE053-0,,Shiraliev (1971:45-48),multiple,argument marking (non-core),word
nort2697-TE054,nort2697,TE054,1,TE054-1,,Mehraliev (p.c. 2017),multiple,interrogation,clause
nort2697-TE059,nort2697,TE059,0,TE059-0,,Shiraliev (1971:106-109); Shiraliev (1997:164),verb,valency,word
nort2697-TE066,nort2697,TE066,1,TE066-1,,Shiraliev (1971:114); Shiraliev (1997:164),verb,TAME,word
nort2697-TE078,nort2697,TE078,0,TE078-0,,Shiraliev (1971:1-407),not assignable,phonological distinctiveness,phonological shape
nort2697-TS001,nort2697,TS001,1,TS001-1,,"Shiraliev (1971:226, 229)",not assignable,word order,NP
nort2697-TS002,nort2697,TS002,0,TS002-0,,"Shiraliev (1971:226, 229)",not assignable,word order,NP
nort2697-TS003,nort2697,TS003,1,TS003-1,,Shiraliev (1971:226),not assignable,word order,NP
nort2697-TS004,nort2697,TS004,0,TS004-0,,Shiraliev (1971:226),not assignable,word order,NP
nort2697-TS005,nort2697,TS005,1,TS005-1,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),not assignable,word order,NP
nort2697-TS006,nort2697,TS006,1,TS006-1,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),not assignable,word order,NP
nort2697-TS007,nort2697,TS007,1,TS007-1,,Shiraliev (1971:226),not assignable,word order,NP
nort2697-TS008,nort2697,TS008,0,TS008-0,,Shiraliev (1971:226),not assignable,word order,NP
nort2697-TS009,nort2697,TS009,1,TS009-1,,Shiraliev (1971:88-93),not assignable,word order,NP
nort2697-TS010,nort2697,TS010,0,TS010-0,,Shiraliev (1971:88-93),not assignable,word order,NP
nort2697-TS079,nort2697,TS079,0,TS079-0,,Shiraliev (1971:1-407),not assignable,phonological distinctiveness,phonological shape
nort2697-TS080,nort2697,TS080,1,TS080-1,,Shiraliev (1971:1-407),not assignable,phonological distinctiveness,phonological shape
nort2697-TS086,nort2697,TS086,1,TS086-1,,Shiraliev (1997:169),not assignable,word order,clause
nort2697-TS087,nort2697,TS087,0,TS087-0,,Shiraliev (1997:169),not assignable,word order,clause
nort2697-TS088,nort2697,TS088,0,TS088-0,,Shiraliev (1971:20-23),not assignable,phonological distinctiveness,phonological shape
bash1264-GB020,bash1264,GB020,0,GB020-0,,Poppe (1964:1-100),article,deixis,NP
bash1264-GB021,bash1264,GB021,0,GB021-0,,Poppe (1964:1-100),article,deixis,NP
bash1264-GB022,bash1264,GB022,0,GB022-0,,Poppe (1964:1-100),article,deixis,NP
bash1264-GB023,bash1264,GB023,0,GB023-0,,Poppe (1964:1-100),article,deixis,NP
bash1264-GB026,bash1264,GB026,?,GB026-?,may be possible,Gisbert Fanselow (p.c. 2017),not assignable,word order,NP
bash1264-GB027,bash1264,GB027,1,GB027-1,,Yuldashev (1981:352),multiple,argument marking (non-core),NP
bash1264-GB028,bash1264,GB028,0,GB028-0,,Yuldashev (1981:134),pronoun,deixis,word
bash1264-GB030,bash1264,GB030,0,GB030-0,,Yuldashev (1981:134),pronoun,deixis,word
bash1264-GB031,bash1264,GB031,0,GB031-0,,Yuldashev (1997:211); Yuldashev (1981:134),pronoun,deixis,word
bash1264-GB035,bash1264,GB035,0,GB035-0,,Poppe (1964:43),demonstrative,deixis,word
bash1264-GB036,bash1264,GB036,0,GB036-0,,Poppe (1964:43),demonstrative,deixis,word
bash1264-GB037,bash1264,GB037,0,GB037-0,,Poppe (1964:43),demonstrative,deixis,word
bash1264-GB038,bash1264,GB038,0,GB038-0,,Poppe (1964:1-100),noun,deixis,word
bash1264-GB039,bash1264,GB039,0,GB039-0,There is only phonological allomorphy.,Poppe (1964:33); Yuldashev (1997: 211); Yuldashev (1981:117-120),noun,number,word
bash1264-GB041,bash1264,GB041,0,GB041-0,,Yuldashev (1997: 211); Yuldashev (1981:117-120),noun,number,word
bash1264-GB042,bash1264,GB042,0,GB042-0,,Yuldashev (1997: 211); Yuldashev (1981:117-120),noun,number,word
bash1264-GB043,bash1264,GB043,0,GB043-0,,Yuldashev (1997: 211); Yuldashev (1981:117-120),noun,number,word
bash1264-GB044,bash1264,GB044,1,GB044-1,,Yuldashev (1997: 211); Yuldashev (1981:117-120),noun,number,word
bash1264-GB046,bash1264,GB046,1,GB046-1,,Yuldashev (1981:119),noun,number,word
bash1264-GB047,bash1264,GB047,1,GB047-1,,Poppe (1964:52),noun,denominal derivation,word
bash1264-GB048,bash1264,GB048,1,GB048-1,,Garinov (1959:67),noun,denominal derivation,word
bash1264-GB049,bash1264,GB049,1,GB049-1,not productive,Poppe (1964:63),noun,denominal derivation,word
bash1264-GB051,bash1264,GB051,0,GB051-0,,Poppe (1964:1-100),multiple,class agreement,word
bash1264-GB052,bash1264,GB052,0,GB052-0,,Poppe (1964:1-100),multiple,class agreement,word
bash1264-GB053,bash1264,GB053,0,GB053-0,,Poppe (1964:1-100),multiple,class agreement,word
bash1264-GB054,bash1264,GB054,0,GB054-0,,Poppe (1964:1-100),multiple,class agreement,word
bash1264-GB057,bash1264,GB057,0,GB057-0,,Poppe (1964:1-100),noun,quantification,word
